slug,name,roaster,rating,review_date
ethiopia-deri-kochoha-2,Ethiopia Deri Kochoha,Flight Coffee Co.,93,2019-01-01
espresso-14,Espresso,Doi Chaang Coffee,91,2019-01-01
kenya-ruthaka-peaberry,Kenya Ruthaka Peaberry,Temple Coffee and Tea,95,2019-01-01
ethiopia-gora-kone-sidamo,Ethiopia Gora Kone Sidamo,Temple Coffee and Tea,93,2019-01-01
specialty-coffee-blend-espresso,Specialty Coffee Blend Espresso,Choosy Gourmet,93,2019-01-01
honduras-las-flores-parainema,Honduras Las Flores Parainema,Café Grumpy,94,2019-01-01
kivu-dr-congo,Kivu DR Congo,JBC Coffee Roasters,94,2019-01-01
santa-luzia-brazil,Santa Luzia Brazil,Coava Coffee Roasters,93,2019-01-01
porfirio-castellanos-honduras,Porfirio Castellanos Honduras,Coava Coffee Roasters,93,2019-01-01
ethiopia-yirgacheffe-awassa,Ethiopia Yirgacheffe Awassa,Paradise Roasters,93,2019-01-01
panama-ninety-plus-perci-lot-50,Panama Ninety Plus Perci Lot 50,Bird Rock Coffee Roasters,97,2019-01-01
colombia-sidra,Colombia Sidra,Kaffetre,94,2018-12-01
colombia-geisha-2,Colombia Geisha,Paradise Roasters,94,2018-12-01
select-reserve-guatemala-el-aceituno-el-bonito-microlot,Select Reserve Guatemala El Aceituno “El Bonito” Microlot,Red Rock Roasters,91,2018-12-01
foothills-series-hambela-ethiopia,Foothills Series Hambela Ethiopia,Vienna Coffee Company,91,2018-12-01
ethiopia-gugi,Ethiopia Gugi,Topeca Coffee Roasters,93,2018-12-01
kenya-murunga-new-gatanga-fcs-mukurwe-factory-ab,Kenya Murunga New Gatanga FCS Mukurwe Factory AB,Small Eyes Cafe,94,2018-12-01
brazil-recreio-selectivo,Brazil Recreio Selectivo,Topeca Coffee Roasters,92,2018-12-01
ethiopia-worka-2,Ethiopia WORKA,Red Rooster Coffee Roaster,94,2018-12-01
guatemala-hunapu,Guatemala Hunapu,Temple Coffee and Tea,93,2018-12-01
ethiopia-banko-dhadhato-washed,Ethiopia Banko Dhadhato Washed,Red Rooster Coffee Roaster,94,2018-12-01
kenya-rugeto-peaberry,Kenya Rugeto Peaberry,Temple Coffee and Tea,93,2018-12-01
gayo-aceh-sumatra,Gayo Aceh Sumatra,JBC Coffee Roasters,92,2018-12-01
kenya-karuthi-aa,Kenya Karuthi AA,Coava Coffee Roasters,95,2018-12-01
kenya-nyeri-nudurutu-factory-ab,Kenya Nyeri Nudurutu Factory AB,Kakalove Cafe,94,2018-12-01
ethiopia-kochere-washed-saona-lot,Ethiopia Kochere Washed Saona Lot,Kakalove Cafe,95,2018-12-01
ethiopia-guji-natural-dasaya-se-1,Ethiopia Guji Natural Dasaya,Kakalove Cafe,94,2018-12-01
auromar-geisha-natural-2,Auromar Geisha Natural,Willoughby's Coffee & Tea,93,2018-12-01
holiday-blend-25,Holiday Blend,Olympia Coffee,93,2018-12-01
kith-kin,Kith & Kin,Revel Coffee,93,2018-12-01
el-salvador-pacamara-3,El Salvador Pacamara,Speckled Ax,92,2018-12-01
guji-oraga-tabe,Guji Oraga Tabe,Steadfast Coffee,92,2018-12-01
baru-gesha,Baru Gesha,Bar Nine,96,2018-12-01
flowery-nekisse,Flowery Nekisse,Ho Soo Tsai,95,2018-12-01
colombia-el-obraje-gesha,Colombia El Obraje Gesha,Joe Van Gogh Coffee,94,2018-12-01
holiday-sweet-blend,Holiday Sweet Blend,Red Rooster Coffee Roaster,94,2018-12-01
camilina-geisha,Camilina Geisha,Bird Rock Coffee Roasters,94,2018-12-01
mama-cata-geisha-washed,Mama Cata Geisha Washed,Willoughby's Coffee & Tea,94,2018-12-01
panama-finca-lerida-geisha-black-honey,Panama Finca Lerida Geisha Black Honey,Willoughby's Coffee & Tea,93,2018-12-01
panama-finca-lerida-geisha-washed,Panama Finca Lerida Geisha Washed,Willoughby's Coffee & Tea,93,2018-12-01
wei-rong-blend,Wei Rong Blend,Mi's Cafe,94,2018-12-01
ethiopia-kayon-mountain-5,Ethiopia Kayon Mountain,Ben's Beans,93,2018-11-01
ethiopia-reko-2,Ethiopia Reko,Temple Coffee and Tea,91,2018-11-01
organic-mocha-java-espresso,Organic Mocha Java Espresso,Nella's SOGOOD Coffee,90,2018-11-01
100-arabica-freeze-dried-colombian-instant-coffee,100% Arabica Freeze-Dried Colombian (Instant Coffee),Waka Coffee,88,2018-11-01
perla-del-otun,Perla del Otún,Espresso Republic,91,2018-11-01
decaf-classic-espresso,Decaf Classic Espresso,Espresso Republic,90,2018-11-01
colombia-el-sauce,Colombia El Sauce,Espresso Republic,90,2018-11-01
kiunyu-peaberry,Kiunyu Peaberry,Bird Rock Coffee Roasters,94,2018-11-01
el-aguila-sl28-el-salvador,El Aguila SL28 El Salvador,JBC Coffee Roasters,93,2018-11-01
nano-challa,Nano Challa,Bird Rock Coffee Roasters,93,2018-11-01
costa-rica-volcan-azul-single-origin-espresso,Costa Rica Volcán Azúl Single-Origin Espresso,Temple Coffee and Tea,92,2018-11-01
kona-mocca-2,Kona Mocca®,Hula Daddy Kona Coffee,96,2018-11-01
kibugu-kenya-2,Kibugu Kenya,Lexington Coffee Roasters,95,2018-11-01
poseidon-blend-espresso,Poseidon Blend Espresso,GK Coffee,95,2018-11-01
kenya-gikirima-kibugu,Kenya Gikirima Kibugu,Branch Street Coffee Roasters,94,2018-11-01
kenya-aa-top-gachatha,Kenya AA Top Gachatha,GK Coffee,93,2018-11-01
ethiopia-yirgacheffe-g1-chachale-natural,Ethiopia Yirgacheffe G1 Chachale Natural,GK Coffee,93,2018-11-01
quejina-guatemala,Quejina Guatemala,Lexington Coffee Roasters,90,2018-11-01
christmas-blend-7,Christmas Blend,Mystic Monk Coffee,90,2018-11-01
thanksgiving-blend-3,Thanksgiving Blend,Mystic Monk Coffee,90,2018-11-01
elida-estate-geisha-natural-dragonfly-reserve,Elida Estate Geisha Natural Dragonfly Reserve,Dragonfly Coffee Roasters,95,2018-11-01
costa-rica-geisha-honey-coe-2018-2nd-place,Costa Rica Geisha Honey COE 2018 2nd Place,Dragonfly Coffee Roasters,94,2018-11-01
guatemala-pacamara-natural,Guatemala Pacamara Natural,Fumi Coffee,95,2018-11-01
la-providencia-guatemala-maragogype,La Providencia Guatemala Maragogype,Bird Rock Coffee Roasters,94,2018-11-01
finca-insul-guatemala-pacamara,Finca Insul Guatemala Pacamara,Augie's Coffee Roasters,93,2018-11-01
cuxinales-guatemala,Cuxinales Guatemala,Barrington Coffee Roasting,93,2018-11-01
nicaragua-la-benedicion-pacamara,Nicaragua La Benedicion Pacamara,Hale Coffee Company,93,2018-11-01
nicaragua-mierisch-finca-la-huella-yellow-pacamara-honey,Nicaragua Mierisch Finca La Huella Yellow Pacamara Honey,Kakalove Cafe,93,2018-11-01
el-salvador-finca-el-cerro-pacamara-black-honey,El Salvador Finca El Cerro Pacamara Black Honey,Red Rooster Coffee Roaster,93,2018-11-01
nicaragua-mierisch-finca-la-huella-yellow-pacamara-honey-2,Nicaragua Mierisch Finca La Huella Yellow Pacamara Honey,Small Eyes Cafe,93,2018-11-01
el-salvador-finca-himalaya-pacamara,El Salvador Finca Himalaya Pacamara,Equator Coffees and Teas,92,2018-11-01
y-3-geisha-hacienda-esmeralda,Y-3 Geisha Hacienda Esmeralda,Voyage Coffee,90,2018-11-01
foxfire-espresso,Foxfire Espresso,Vienna Coffee Company,92,2018-11-01
ethiopia-misti-valley,Ethiopia Misti Valley,Durango Coffee Company,93,2018-11-01
ethiopia-guji,Ethiopia Guji,North Coast Coffee Roasting,90,2018-11-01
kenya-kabingara,Kenya Kabingara,Klatch Coffee,94,2018-11-01
guatemala-huehuetenango-10,Guatemala Huehuetenango,Grounds for Change,92,2018-11-01
adanech-ethiopia-guji,Adanech Ethiopia Guji,Steady State Roasting Company,91,2018-11-01
el-salvador-loma-la-gloria-black-honey,El Salvador Loma La Gloria Black Honey,Steady State Roasting Company,91,2018-11-01
yemen-haraaz-2,Yemen Haraaz,Direct Coffee,92,2018-11-01
thai-single-origin-espresso-blend-a4a4-5a5,Thai Single-Origin Espresso Blend (A4+A4.5+A5),Bluekoff Company,91,2018-11-01
thai-single-origin-natural-process-espresso,Thai Single-Origin Natural-Process Espresso,Bluekoff Company,90,2018-11-01
kenya-konyu,Kenya Konyu,Branch Street Coffee Roasters,95,2018-10-01
guatemala-finca-san-gerardo,Guatemala Finca San Gerardo,Magnolia Coffee,92,2018-10-01
hacienda-la-esmeralda-cabana-geisha-natural,Hacienda La Esmeralda Cabana Geisha Natural,Dragonfly Coffee Roasters,95,2018-10-01
finca-la-aurora-camilina-geisha-2,Finca La Aurora Camilina Geisha,Dragonfly Coffee Roasters,96,2018-10-01
twenty-five,Twenty Five,Barrington Coffee Roasting,96,2018-10-01
kanyonyi-coffee-blend,Kanyonyi Coffee Blend,Gorilla Conservation Coffee,92,2018-10-01
costa-rica-microlot-series-san-cristobal-natural,Costa Rica Microlot Series San Cristobal Natural,Oceana Coffee,92,2018-10-01
la-union-colombia,La Union (Colombia),Barrington Coffee Roasting,91,2018-10-01
colombia-luis-alberto-montoya-antioquia,Colombia Luis Alberto Montoya Antioquia,Temple Coffee and Tea,92,2018-10-01
karimikui-kenya,Karimikui Kenya,JBC Coffee Roasters,94,2018-10-01
kenya-baragwi-thimu-peaberry,Kenya Baragwi Thimu Peaberry,Temple Coffee and Tea,94,2018-10-01
kariru-kenya,Kariru Kenya,JBC Coffee Roasters,94,2018-10-01
esmeralda-estate-porton-geisha-natural,Esmeralda Estate Porton Geisha Natural,Dragonfly Coffee Roasters,96,2018-10-01
kenya-kiambu,Kenya Kiambu,Revel Coffee,94,2018-10-01
kenya-gatuya,Kenya Gatuya,Big Creek Coffee Roasters,93,2018-10-01
ethiopia-3,Ethiopia,Caffeic,93,2018-10-01
kenya-gatuyaini,Kenya Gatuyaini,Evans Brothers Coffee Roasters,93,2018-10-01
kenya-aa-top-lot,Kenya AA Top Lot,Mystic Monk Coffee,93,2018-10-01
kenya-kainamui,Kenya Kainamui,Sweet Bloom Coffee Roasters,93,2018-10-01
kenya-kariru-pb,Kenya Kariru PB,Corvus Coffee Roasters,92,2018-10-01
organic-ethiopia-sidama-natural,Organic Ethiopia Sidama Natural,Desert Sun Coffee Roasters,92,2018-10-01
kenya-mwiria,Kenya Mwiria,Durango Coffee Company,92,2018-10-01
colombia-narino-excelsio,Colombia Narino Excelsio,Jackrabbit Java,92,2018-10-01
ethiopia-washed-phoenix-special-muse,Ethiopia Washed Phoenix Special “Muse”,Simon Hsieh's Aroma Roast Coffees,95,2018-10-01
kenya-ab-phoenix-special-glory,Kenya AB Phoenix Special “Glory”,Simon Hsieh's Aroma Roast Coffees,94,2018-10-01
cupid-blend,Cupid Blend,709 Boutique Coffee,93,2018-10-01
ethiopia-natural-phoenix-special-andromeda-espresso,Ethiopia Natural Phoenix Special “Andromeda” Espresso,Simon Hsieh's Aroma Roast Coffees,93,2018-10-01
kenya-ritho-fcs-handege-factory-ab,Kenya Ritho FCS Handege Factory AB,Kakalove Cafe,96,2018-10-01
ethiopia-yirgacheffe-botabaa-washed,Ethiopia Yirgacheffe Botabaa Washed,Kakalove Cafe,95,2018-10-01
ethiopia-sidama-sasaba-natural,Ethiopia Sidama Sasaba Natural,Jebena Coffees,93,2018-10-01
kenya-aa-kirinyaga,Kenya AA Kirinyaga,Big Creek Coffee Roasters,93,2018-10-01
ethiopia-limu-2,Ethiopia Limu,Big Shoulders Coffee,93,2018-10-01
ethiopia-bensa-segra-natural,Ethiopia Bensa Segra Natural,Big Creek Coffee Roasters,93,2018-10-01
ethiopia-hambela-natural-7,Ethiopia Hambela Natural,Big Shoulders Coffee,94,2018-10-01
ethiopia-kayon-mountain-4,Ethiopia Kayon Mountain,Big Creek Coffee Roasters,93,2018-10-01
guatemala-huehuetenango-la-garita,Guatemala Huehuetenango La Garita,Big Creek Coffee Roasters,92,2018-10-01
roba-ethiopia-chelbessa,Roba Ethiopia (Chelbessa),Greater Goods Coffee Roasters,93,2018-10-01
ethiopia-hambela-hasam,Ethiopia Hambela Hasam,Revel Coffee,93,2018-10-01
kenya-kabare-aa-2,Kenya Kabare AA,Revel Coffee,93,2018-10-01
el-salvador-finca-nombre-de-dios-honey,El Salvador Finca Nombre de Dios Honey,Red Rock Roasters,92,2018-10-01
ethiopia-gera-limmu-oromia,Ethiopia Gera Limmu Oromia,Temple Coffee and Tea,94,2018-09-01
kenya-kabare-konyu,Kenya Kabare Konyu,Temple Coffee and Tea,94,2018-09-01
costa-rica-francisco-ruiz,Costa Rica Francisco Ruiz,Temple Coffee and Tea,90,2018-09-01
alemu-bukato-espresso,Alemu Bukato Espresso,JBC Coffee Roasters,95,2018-09-01
alemu-bukato-ethiopia,Alemu Bukato Ethiopia,JBC Coffee Roasters,93,2018-09-01
asopep-colombia,ASOPEP Colombia,JBC Coffee Roasters,91,2018-09-01
tarime-tanzania-2,Tarime Tanzania,Lexington Coffee Roasters,95,2018-09-01
guachepelin-costa-rica,Guachepelin Costa Rica,Lexington Coffee Roasters,93,2018-09-01
berlina-geisha,Berlina Geisha,Barrington Coffee Roasting,96,2018-09-01
gatugi-triple,Gatugi Triple,Barrington Coffee Roasting,95,2018-09-01
sulawesi-toarco,Sulawesi Toarco,Barrington Coffee Roasting,92,2018-09-01
ethiopia-yirgacheffe-natural-espresso,Ethiopia Yirgacheffe Natural Espresso,Dragonfly Coffee Roasters,94,2018-09-01
ethiopia-yirgacheffe-natural,Ethiopia Yirgacheffe Natural,Dragonfly Coffee Roasters,94,2018-09-01
guatemala-finca-el-general-lot-alt8-espresso,Guatemala Finca El General Lot ALT8 Espresso,Kakalove Cafe,94,2018-09-01
green-dolphin-blend-espresso,Green Dolphin Blend Espresso,Kakalove Cafe,94,2018-09-01
h-coffee-espresso-blend-01,H Coffee Espresso Blend 01,"Kunshan Kokei co., LTD",93,2018-09-01
brazil-conquista-2,Brazil Conquista,Good Coffee Club,92,2018-09-01
ethiopia-kochere-natural-2,Ethiopia Kochere Natural,"Kunshan Kokei co., LTD",90,2018-09-01
via-instant-veranda-blend-blonde,Via Instant Veranda Blend Blonde,Starbucks Coffee,83,2018-09-01
kanu-colombia-mild-roast-americano-instant-coffee,KANU Colombia Mild Roast Americano (Instant Coffee),Maxim Coffee,72,2018-09-01
augies-ethiopia-layo-teraga-natural-instant-coffee,Augie’s Ethiopia Layo Teraga Natural (Instant Coffee),Voila Coffee,89,2018-09-01
premium-coffee-instant-coffee,Premium Coffee (Instant Coffee),Yuban,68,2018-09-01
augies-ethiopia-layo-teraga-washed-instant-coffee,Augie’s Ethiopia Layo Teraga Washed (Instant Coffee),Voila Coffee,88,2018-09-01
tasters-choice-house-blend-instant-coffee,Taster’s Choice House Blend (Instant Coffee),Nescafe,63,2018-09-01
coava-costa-rica-los-nacientes-instant-coffee,Coava Costa Rica Los Nacientes (Instant Coffee),Voila Coffee,86,2018-09-01
ethiopia-duromina-instant-coffee,Ethiopia Duromina (Instant Coffee),Reanimator Coffee Roasters,86,2018-09-01
kochere-yirgacheffe-ethiopia-instant-coffee,Kochere Yirgacheffe Ethiopia (Instant Coffee),Tandem Coffee,86,2018-09-01
rayos-del-sol-peru-light-roast-instant-coffee,Rayos del Sol Peru Light Roast (Instant Coffee),Sudden Coffee,84,2018-09-01
the-blend-sumiyaki-coffee-instant-coffee,The Blend Sumiyaki Coffee (Instant Coffee),UCC Ueshima Coffee,83,2018-09-01
via-instant-colombia-medium-roast-instant-coffee,Via Instant Colombia Medium Roast (Instant Coffee),Starbucks Coffee,67,2018-09-01
finca-el-socorro-maracaturra,Finca El Socorro Maracaturra,PT's Coffee Roasting,95,2018-09-01
ethiopia-kochere-debo-washed-gellana,Ethiopia Kochere Debo Washed Gellana,Kakalove Cafe,94,2018-09-01
guatemala-huehuetenango-miralvalle-washed,Guatemala Huehuetenango Miralvalle Washed,Crown & Fancy,92,2018-08-01
ethiopia-gotiti-natural,Ethiopia Gotiti Natural,Green Stone Coffee,95,2018-08-01
ethiopia-kayon-mountain-natural-2,Ethiopia Kayon Mountain Natural,Lexington Coffee Roasters,93,2018-08-01
colombia-jairo-alcaraz,Colombia Jairo Alcaraz,Temple Coffee and Tea,92,2018-08-01
cream-tabby-espresso-blend,Cream Tabby Espresso Blend,MoonMoon Coffee,94,2018-08-01
esmeralda-estate-panama-geisha,Esmeralda Estate Panama Geisha,Difference Coffee,94,2018-08-01
brazil-cup-of-excellence-prize-winner,Brazil Cup of Excellence Prize Winner,Difference Coffee,92,2018-08-01
ethiopia-girma-eshetu,Ethiopia Girma Eshetu,Propeller Coffee,94,2018-08-01
organic-dulce-de-guatemala,Organic Dulce de Guatemala,Paradise Roasters,93,2018-08-01
ethiopia-yirgacheffe-natural-grade-1,Ethiopia Yirgacheffe Natural Grade 1,Noelia Coffee,92,2018-08-01
karimiuki-espresso,Karimikui Espresso,JBC Coffee Roasters,94,2018-08-01
colombia-finca-la-ilusion-rosevel-ortiz-escarpeta-natural-espresso,Colombia Finca La Ilusion Rosevel Ortiz Escarpeta Natural Espresso,Soul Work Coffee,92,2018-08-01
guatemala-finca-el-limonar-hugo-chavez-mendez,Guatemala Finca El Limonar Hugo Chavez Mendez,Soul Work Coffee,92,2018-08-01
colombia-finca-la-loma-antonio-gualguan,Colombia Finca La Loma Antonio Gualguan,Soul Work Coffee,91,2018-08-01
granja-la-esperanza-tres-dragones-natural,Granja La Esperanza Tres Dragones Natural,PT's Coffee Roasting,93,2018-08-01
costa-rica-tirra-natural,Costa Rica Tirra Natural,Argyle Coffee Roasters,92,2018-08-01
el-salvador-loma-la-gloria-natural-2,El Salvador Loma La Gloria Natural,Old Soul Co.,92,2018-08-01
brazil-fazenda-sertaozinho-2,Brazil Fazenda Sertãozinho,Auto Coffee,91,2018-08-01
natural-sidamo-twakok-g1,Natural Sidamo Twakok G1,Kakalove Cafe,94,2018-08-01
costa-rica-cumbres-del-poas-perla-negra-natural,Costa Rica Cumbres Del Poas “Perla Negra” Natural,Magnolia Coffee,94,2018-08-01
ethiospro-blend,Ethiospro Blend,Revel Coffee,94,2018-08-01
ethiopia-gede-natural,Ethiopia Gede Natural,Kickapoo Coffee Roasters,93,2018-08-01
gesha-village-lot-25,Gesha Village Lot #25,Small Eyes Cafe,95,2018-08-01
ycfcu-banko-gotiti-coop-g1,YCFCU Banko Gotiti Coop G1,Taokas Coffee,95,2018-08-01
yemen-haraaz,Yemen Haraaz,Dragonfly Coffee Roasters,94,2018-08-01
costa-rica-perla-negra,Costa Rica Perla Negra,Durango Coffee Company,95,2018-08-01
espresso-1849-blend,Espresso 1849 Blend,States Coffee & Mercantile,94,2018-08-01
ethiopia-deri-kochoha,Ethiopia Deri Kochoha,States Coffee & Mercantile,93,2018-08-01
guatemala-finca-las-terrazas,Guatemala Finca Las Terrazas,States Coffee & Mercantile,93,2018-08-01
suyusama-program-colombia,Suyusama Program Colombia,Bird Rock Coffee Roasters,93,2018-08-01
static-peru-valle-de-chingama-peru,Static Peru Valle de Chingama Peru,Espresso Republic,92,2018-08-01
static-chirinos-peru,Static Chirinos Peru,Espresso Republic,90,2018-08-01
kenya-muranga-gondo,Kenya Muranga Gondo,Temple Coffee and Tea,93,2018-08-01
costa-rica-esteban-zamora,Costa Rica Esteban Zamora,Temple Coffee and Tea,91,2018-08-01
el-salvador-loma-la-gloria-natural,El Salvador Loma La GLoria Natural,Old Soul Co.,93,2018-08-01
kenya-8,Kenya,Evie's Cafe,92,2018-08-01
burundi-nkonge-hill-red-honey,Burundi Nkonge Hill Red Honey,Caffeic,93,2018-07-01
ethiopia-kayon-mountain-3,Ethiopia Kayon Mountain,Red Rooster Coffee Roaster,94,2018-07-01
tano-batak-sumatra-5,Tano Batak Sumatra,JBC Coffee Roasters,94,2018-07-01
flight-espresso,Flight Espresso,Red Rooster Coffee Roaster,93,2018-07-01
zambia-aaa-aa,Zambia AAA/AA,Mystic Monk Coffee,90,2018-07-01
sumatra-batak-naga-saribu-m-plus,Sumatra Batak Naga Saribu M-Plus,Kakalove Cafe,93,2018-07-01
ethiopia-guji-natural-dasaya-g1,Ethiopia Guji Natural Dasaya G1,Small Eyes Cafe,93,2018-07-01
dandelion-espresso-blend,Dandelion Espresso Blend,Lin's Home Roasters,90,2018-07-01
choice-caramel-dried-prune,Choice Caramel Dried Prune,Creation Food Co.,91,2018-07-01
espresso-blend-17,Espresso Blend,Pop Coffee Works,92,2018-07-01
taurus-earth-espresso,Taurus Earth Espresso,Aether Coffee,92,2018-07-01
ethiopia-natural-yirgacheffe-adado-shara,Ethiopia Natural Yirgacheffe Adado Shara,Aether Coffee,93,2018-07-01
no-7-espresso-blend,No. 7 Espresso Blend,The Curve Coffee Roasting Co.,95,2018-06-01
kenya-embu-uteuzi-jimbo,Kenya Embu Uteuzi Jimbo,Kakalove Cafe,94,2018-06-01
ethiopia-dumerso,Ethiopia Dumerso,The Curve Coffee Roasting Co.,93,2018-06-01
sumatra-batak-naga-saribu,Sumatra Batak Naga Saribu,Kakalove Cafe,93,2018-06-01
replay-espresso,Replay Espresso,Revel Coffee,92,2018-06-01
burundi-gaharo-hill-long-miles-coffee-project-natural,Burundi Gaharo Hill Long Miles Coffee Project Natural,Mustard Seed Cafe,92,2018-06-01
kiniyota-burundi-2,Kiniyota Burundi,Novo Coffee,92,2018-06-01
burundi-gahehe-washing-station-microlot-honey,Burundi Gahahe Washing Station Microlot Honey,Oughtred Roasting Works,92,2018-06-01
rwanda-cyato,Rwanda Cyato,Big Creek Coffee Roasters,90,2018-06-01
rwanda-hingakawa-womens-co-op-fair-trade,Rwanda Hingakawa Women’s Co-op Fair Trade,Willoughby's Coffee & Tea,90,2018-06-01
uganda,Uganda Kapchorwa,Oceana Coffee,90,2018-06-01
burundi-gitwe-natural-bourbon,Burundi Gitwe Natural Bourbon,Olympia Coffee Roasting,93,2018-06-01
gahahe-burundi-natural,Gahahe Burundi Natural,Reunion Island Coffee,93,2018-06-01
winer,Winer,Folly Coffee Roasters,92,2018-06-01
burundi-long-miles-coffee-project-natural,Burundi Long Miles Coffee Project Natural,Green Stone Coffee,92,2018-06-01
long-miles-coffee-project-nkonge-hill-burundi-red-honey,Long Miles Coffee Project Nkonge Hill Burundi Red Honey,Kakalove Cafe,92,2018-06-01
tarime-tanzania,Tarime Tanzania,JBC Coffee Roasters,95,2018-06-01
dr-congo-fto-bourbon-sopacdi,DR Congo FTO Bourbon SOPACDI,Dragonfly Coffee Roasters,94,2018-06-01
mahonda-burundi,Mahonda Burundi,Barrington Coffee Roasting,93,2018-06-01
signature-hazelnut-dark-chocolate,Signature Hazelnut Dark Chocolate,Creation Food Co.,93,2018-06-01
signature-floral-orange,Signature Floral Orange,Creation Food Co.,92,2018-06-01
el-salvador-6,El Salvador,Conscious Cup Coffee Roasters,93,2018-05-01
kiniyota-espresso,Kiniyota Espresso,JBC Coffee Roasters,95,2018-05-01
guardian-spirit-espresso-blend,Guardian Spirit Espresso Blend,Modern Times Coffee,93,2018-05-01
kenya-nyeri-rumukia-peaberry,Kenya Nyeri Rumukia Peaberry,Green Stone Coffee,92,2018-05-01
kenya-nyeri-karuthi-aa,Kenya Nyeri Karuthi AA,Direct Coffee,92,2018-05-01
el-obraje-geisha-2,El Obraje Geisha,Dragonfly Coffee Roasters,95,2018-05-01
burundi-2,Burundi,Mystic Monk Coffee,91,2018-05-01
mirador-colombia,Mirador Colombia,Lexington Coffee Roasters,92,2018-05-01
kenya-kirinyaga-mukangu-ab-2,Kenya Kirinyaga Mukangu AB,Coffee Please,92,2018-05-01
brazil-carmo-de-minas-natural,Brazil Carmo de Minas Natural,Big Creek Coffee Roasters,91,2018-05-01
brazil-pulped-natural,Brazil Pulped Natural,Nook Bakery & Coffee Bar,91,2018-05-01
minas-gerais-isaias-ferreira-no-2,Minas Gerais Isaias Ferreira No. 2,Novel Coffee Roasters,91,2018-05-01
brasil-ipanema-premier-cru-gold-b69-natural,Brasil Ipanema Premier Cru Gold B69 Natural,Back Home Coffee,90,2018-05-01
brazil-fazenda-sao-bento,Brazil Fazenda São Bento,Old Soul Co.,93,2018-05-01
fazenda-recreio-bourbon-pulped-natural,Fazenda Recreio Bourbon Pulped Natural,Auto Coffee,93,2018-05-01
brazil-ouro-de-minas-pulped-natural,Brazil Ouro de Minas Pulped Natural,Corvus Coffee Roasters,92,2018-05-01
coe-brazil-naturals-2017-sitio-esperanza-7th-place,COE Brazil Naturals 2017 Sitio Esperanza 7th place,Dragonfly Coffee Roasters,92,2018-05-01
icamiabas-fazenda-klem-catuai-natural,Icamiabas Fazenda Klem Catuaí Natural,Hatch Coffee,92,2018-05-01
brazil-chapada-diamantina-fazenda-floresta,Brazil Chapada Diamantina Fazenda Floresta,Soul Work Coffee,92,2018-05-01
tumba-rwanda,Tumba Rwanda,Corvus Coffee Roasters,93,2018-05-01
mandheling-onan-ganjang,Mandheling Onan Ganjang,Kakalove Cafe,94,2018-05-01
burundi-nemba,Burundi Nemba,Amavida Coffee Roasters,93,2018-05-01
static-peru-cajamarca,Static Peru Cajamarca,Espresso Republic,89,2018-04-01
ethiopia-banko-gotiti-natural-2,Ethiopia Banko Gotiti Natural,Coffee Please,94,2018-04-01
amor,Espresso Blend,Amor,90,2018-04-01
flight-seasonal-espresso-5,Flight Seasonal Espresso,Red Rooster Coffee Roaster,93,2018-04-01
yemen-microlot,Yemen Microlot,Dragonfly Coffee Roasters,96,2018-04-01
lycello-ninety-plus,Lycello by Ninety Plus,Dragonfly Coffee Roasters,95,2018-04-01
lotus-ninety-plus,Lotus by Ninety Plus,Dragonfly Coffee Roasters,95,2018-04-01
guji-allona-ethiopia-natural,Guji Allona Ethiopia Natural,Peri Coffee,93,2018-04-01
monteverde-costa-rica,Monteverde Costa Rica,Montana Coffee Traders,93,2018-04-01
kenya-nyeri-gatugi-peaberry,Kenya Nyeri Gatugi Peaberry,Moore Coffee,94,2018-04-01
karen-j-red-bourbon,Karen J Red Bourbon,Hula Daddy Kona Coffee,94,2018-04-01
ethiopia-yirgacheffe-koke-2,Ethiopia Yirgacheffe Koke,Argyle Coffee Roasters,93,2018-04-01
kau-oro-yeast-typica,Ka’u Oro Yeast Typica,Rusty's Hawaiian Coffee,93,2018-04-01
gedeb-yirgacheffe-ethiopia,Gedeb Yirgacheffe Ethiopia,Bluebeard Coffee Roasters,93,2018-04-01
ethiopia-worka-natural-3,Ethiopia Worka Natural,Red Rooster Coffee Roaster,93,2018-04-01
ecuador-pichincha-typica,Ecuador Pichincha Typica,Paradise Roasters,93,2018-04-01
kenya-ndnunduri,Kenya Ndnunduri,Greater Goods Coffee Roasters,93,2018-04-01
ethiopia-gedeb-gotiti,Ethiopia Gedeb Gotiti,Tico Coffee Roasters,93,2018-04-01
yemen-port-of-mokha-al-durrar,Yemen Port of Mokha Al-Durrar,Equator Coffees & Teas,94,2018-04-01
sumatra-tano-batak-6,Sumatra Tano Batak,Flight Coffee Co.,94,2018-04-01
sumatra-tano-batak-7,Sumatra Tano Batak,PT's Coffee Roasting,94,2018-04-01
kenya-gura-aa,Kenya Gura AA,Cafe Douceur,94,2018-04-01
finca-la-maria-geisha-natural,Finca La Maria Geisha Natural,Bird Rock Coffee Roasters,95,2018-04-01
ethiopia-guji-gigessa,Ethiopia Guji Gigessa,Roasters Note,94,2018-04-01
granja-la-esperanza-sudan-rume-natural,Granja La Esperanza Sudan Rume Natural,PT's Coffee Roasting,95,2018-04-01
gedeb-espresso,Gedeb Espresso,JBC Coffee Roasters,94,2018-04-01
gaitania-espresso,Gaitania Espresso,JBC Coffee Roasters,93,2018-04-01
indonesia-flores-island,Indonesia Flores Island,Green Stone Coffee,92,2018-04-01
